CMS_Certification_Number_|CCN|,Provider_Name,City,ZIP,Phone,Type_of_Ownership,Offers_Nursing_Care_Services,Offers_Physical_Therapy_Services,Offers_Occupational_Therapy_Services,Offers_Speech_Pathology_Services,Offers_Medical_Social_Services,Offers_Home_Health_Aide_Services,Date_Certified,Quality_of_patient_care_star_rating,How_often_the_home_health_team_began_their_patients'_care_in_a_timely_manner,How_often_the_home_health_team_taught_patients_|or_their_family_caregivers|_about_their_drugs,How_often_the_home_health_team_determined_whether_patients_received_a_flu_shot_for_the_current_flu_season,How_often_patients_got_better_at_walking_or_moving_around,How_often_patients_got_better_at_getting_in_and_out_of_bed,How_often_patients_got_better_at_bathing,How_often_patients'_breathing_improved,How_often_patients_got_better_at_taking_their_drugs_correctly_by_mouth,How_often_home_health_patients_had_to_be_admitted_to_the_hospital,Changes_in_skin_integrity_post-acute_care:_pressure_ulcer/injury,How_often_physician-recommended_actions_to_address_medication_issues_were_completely_timely,DTC_Numerator,DTC_Denominator,DTC_Observed_Rate,DTC_Risk-Standardized_Rate,DTC_Risk-Standardized_Rate_|Lower_Limit|,DTC_Risk-Standardized_Rate_|Upper_Limit|,DTC_Performance_Categorization,PPR_Numerator,PPR_Denominator,PPR_Observed_Rate,PPR_Risk-Standardized_Rate,PPR_Risk-Standardized_Rate_|Lower_Limit|,PPR_Risk-Standardized_Rate_|Upper_Limit|,PPR_Performance_Categorization
187160,THREE RIVERS HOME CARE,LOUISA,41230,6066380521,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,9/9/1998,4.5,100,100,84.4,90.9,89.4,89.9,89.5,91.4,19.8,0.3,99.5,381,535,71.21,81.14,77.02,85.36,Same As National Rate,18,345,5.22,3.77,2.8,5.09,Same As National Rate
187161,MARSHALL COUNTY HOSPITAL HHA,BENTON,42025,2705278084,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,7/22/1998,5,100,100,83.2,96.4,87.8,94.2,100,95.9,16,0,100,279,426,65.49,69.4,64.73,73.86,Worse Than National Rate,7,254,2.76,3.52,2.52,4.7,Same As National Rate
187163,AMEDISYS HOME HEALTH,LEXINGTON,40509,8592710611,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,9/30/1998,4.5,99.8,100,80.8,85.7,89.6,89.1,88.2,82.6,14.6,0.6,99.4,834,1187,70.26,76.3,74.01,79.22,Same As National Rate,7,488,1.43,2.68,2.01,3.61,Same As National Rate
187168,AMEDISYS HOME HEALTH,OWENSBORO,42303,2708524811,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,2/2/1999,5,100,99.6,73,94.1,93.6,94.2,93.3,94.4,12,0,98.8,302,425,71.06,76.67,72.36,80.66,Same As National Rate,4,150,2.67,3.43,2.39,5.03,Same As National Rate
187169,HIGHLANDS ARH HOME HEALTH,PRESTONSBURG,41653,8005985858,VOLUNTARY NON-PROFIT - OTHER,No,No,No,No,No,Yes,6/24/1999,3.5,100,99.7,62.9,77.1,77.5,83.4,83.8,73.6,15.2,0,100,216,409,52.81,58.89,54.04,63.95,Worse Than National Rate,16,235,6.81,4.12,3.05,5.43,Same As National Rate
187171,AMEDISYS HOME HEALTH CARE SERVICES,LOUISVILLE,40272,5029331311,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,8/17/1999,4,99.8,100,68.3,85.5,87,86.8,88.5,80.2,16.2,0,97.7,434,578,75.09,82.15,78.48,85.64,Same As National Rate,15,348,4.31,3.7,2.71,4.93,Same As National Rate
187172,LIFELINE ROCKCASTLE HOME HEALTH,MOUNT VERNON,40456,6062561808,PROPRIETARY,Yes,Yes,Yes,No,Yes,No,7/5/2000,4.5,100,100,72.7,90.5,87.7,88.6,88.3,88.2,10.2,0,100,243,315,77.14,82.84,78.28,87.23,Same As National Rate,8,206,3.88,3.54,2.56,4.86,Same As National Rate
187174,COMMONWEALTH HOME HEALTH,RICHMOND,40475,8596231075,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,3/15/2001,5,100,100,95.6,93.2,91.2,94.9,100,90,12.2,0.7,99.3,236,308,76.62,83.25,77.87,88.22,Same As National Rate,4,221,1.81,3.18,2.25,4.45,Same As National Rate
187176,ENCOMPASS HEALTH HOME HEALTH OF KENTUCKY,LEXINGTON,40504,8593677148,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,4/21/2004,4,98.7,95.1,80.3,85.7,88.7,86.1,84.9,87.6,12.2,0.7,99.1,581,681,85.32,89.86,86.98,92.49,Better Than National Rate,26,694,3.75,3.83,2.86,4.91,Same As National Rate
187178,CARETENDERS,OWENSBORO,42303,2706853876,PROPRIETARY,Yes,No,No,No,Yes,Yes,2/2/2006,4.5,99.8,99.7,77.2,87.7,87.9,88.5,91.5,87.3,15,0,96.4,1160,1573,73.74,78.51,76.22,80.83,Same As National Rate,21,669,3.14,3.36,2.56,4.42,Same As National Rate
187179,AMEDISYS HOME HEALTH OF KENTUCKY,CRESTVIEW HILLS,41017,8594417999,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,No,9/26/2006,3.5,99.7,100,90.5,84.2,83.2,90.7,85.6,86.7,20.6,0,97.4,489,674,72.55,80.16,76.88,83.71,Same As National Rate,9,363,2.48,3.09,2.21,4.19,Same As National Rate
187181,LIFELINE HOME HEALTH CARE OF FULTON,FULTON,42041,2704722294,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,2/15/2008,5,100,99.6,94.1,93.7,96.7,88.9,84.8,95.4,11.4,0,99.3,283,449,63.03,70.07,65.37,74.64,Worse Than National Rate,9,192,4.69,3.64,2.57,5.02,Same As National Rate
187182,LIFELINE OF JACKSON PURCHASE HOME HEALTH,MAYFIELD,42066,2707535656,PROPRIETARY,Yes,No,No,Yes,No,No,1/5/2012,4.5,100,100,94.4,96.5,95.9,92.6,87.2,95.3,21.6,0,100,283,393,72.01,78.35,73.73,82.57,Same As National Rate,6,232,2.59,3.37,2.39,4.68,Same As National Rate
187183,KINDRED AT HOME,DANVILLE,40422,8592362193,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/15/2012,4.5,99.6,99.8,73.6,94.5,94.7,91.4,87.5,89.3,16.3,0.8,98.9,777,1023,75.95,81.6,79.02,84.43,Better Than National Rate,22,452,4.87,3.98,2.97,5.32,Same As National Rate
187184,INTERIM HEALTHCARE OF NORTHERN KENTUCKY,EDGEWOOD,41017,8595789191,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/30/2012,3.5,97.7,100,89.9,84,86.5,90.8,88.4,82.4,22.9,0.2,94.3,229,296,77.36,86.19,81.16,91,Better Than National Rate,10,194,5.15,3.75,2.75,5.04,Same As National Rate
187185,SOMC HOME HEALTH SERVICES,VANCEBURG,41179,6067960056,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,2/14/2014,3,96.1,97,61.3,80.4,80.7,82.5,75.7,76,11.5,0.7,92.8,132,156,84.62,89.13,83.03,94.28,Better Than National Rate,13,151,8.61,4.31,3.12,5.78,Same As National Rate
187187,TECH MEDICAL  INC,FLATWOODS,41139,6063936606,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,4/23/2015,,,,,,,,,,,,,31,39,79.49,81.83,67.6,91.32,Same As National Rate,,18,,,,,Not Available
187188,RAINBOW  LLC,BOWLING GREEN,42101,2707450033,PROPRIETARY,Yes,No,No,No,No,Yes,4/20/2015,,,,,,,,,,,,,10,39,25.64,35.36,22.61,50.9,Worse Than National Rate,,6,,,,,Not Available
187300,LIFELINE HOME HEALTH OF WESTERN KY,HOPKINSVILLE,42240,2708856353,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,9/27/1984,4.5,99.5,100,66.9,93.1,94.7,89.4,90.7,88.3,19.3,0.8,100,532,757,70.28,76.59,72.95,79.85,Same As National Rate,5,365,1.37,2.9,2.09,3.91,Same As National Rate
187301,MARION HOME HEALTH AGENCY,MARION,42064,2709652550,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,No,No,Yes,5/15/1986,2.5,54.3,100,81.3,78.1,72.2,60.1,88,65.7,16.9,0,98.9,124,210,59.05,58.96,52.8,64.86,Worse Than National Rate,5,137,3.65,3.69,2.59,5.17,Same As National Rate
187302,AMEDISYS HOME HEALTH,ASHLAND,41101,6063242491,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/19/2008,4,100,99.6,76.1,86.1,90.5,91.2,84.1,80.9,20.8,0,98.7,483,699,69.1,78.44,74.5,81.87,Same As National Rate,17,312,5.45,3.77,2.9,4.97,Same As National Rate
187303,CARETENDERS OF NORTHERN KENTUCKY,FORT WRIGHT,41011,8595780022,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,7/16/1997,4.5,99.8,98.7,81.7,89.5,90.7,92.4,97,89.6,21.8,0,100,821,1023,80.25,86.57,84.28,88.95,Better Than National Rate,24,703,3.41,3.45,2.62,4.46,Same As National Rate
187306,AMEDISYS HOME HEALTH CARE,MIDDLESBORO,40965,6062481062,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,2/8/2006,4.5,100,100,50.3,89.5,89.3,89.5,85.1,82.1,15.3,0.6,98.7,665,917,72.52,80.05,77.24,82.95,Same As National Rate,8,267,3,3.13,2.3,4.2,Same As National Rate
197005,HH AGENCY OF LAKE CHARLES MEMO,LAKE CHARLES,70601,3374946444,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,No,No,12/27/1972,3,98.1,99.5,82.8,81.1,76.9,75.9,80.6,80.2,16,0,99.5,918,1064,86.28,87.8,85.94,89.82,Better Than National Rate,20,834,2.4,3.39,2.56,4.48,Same As National Rate
197014,PROFESSIONAL HH SERVICES OF NATCHITOCHES,NATCHITOCHES,71457,3183529240,PROPRIETARY,Yes,No,No,No,No,Yes,7/15/1969,3,99.2,97.6,61.7,85.1,80.1,86.9,78.7,78.3,22.5,0,98.5,115,173,66.47,70.02,63.3,76.57,Worse Than National Rate,1,45,2.22,3.5,2.5,4.88,Same As National Rate
197015,CHRISTUS HOMECARE ST PATRICK,LAKE CHARLES,70601,3373955600,PROPRIETARY,Yes,No,No,No,Yes,Yes,8/27/1969,4.5,99.8,100,79.7,88.9,88.6,92.1,90.2,84.9,16.5,0,98,527,698,75.5,82.49,78.92,85.89,Better Than National Rate,11,547,2.01,2.85,2.08,3.69,Same As National Rate
197018,PROFESSIONAL HOME HEALTH SERVICES,ALEXANDRIA,71303,3184488132,PROPRIETARY,No,No,No,No,No,Yes,12/30/1969,3,98.8,97,52.5,74.9,83.3,85.6,76.8,84.2,22.9,0,99.4,86,178,48.31,53.14,46.33,60.23,Worse Than National Rate,0,58,0,3.28,2.31,4.69,Same As National Rate
197019,LIFE SOURCE HOME HEALTH,HAMMOND,70403,9854191999,PROPRIETARY,Yes,No,No,No,No,No,10/1/1969,4,99.5,99.7,98.1,85.7,86.2,87.5,84.4,83.8,11.6,0,99.7,188,235,80,87.22,81.76,92.06,Better Than National Rate,2,115,1.74,3.39,2.42,4.63,Same As National Rate
197020,PROFESSIONAL HH SVCS OF CADDO,SHREVEPORT,71105,3188613900,PROPRIETARY,Yes,No,No,No,No,Yes,1/7/1970,3,99.1,97.3,56,74.7,75.4,81.6,81.3,71.7,13.8,0,99.1,123,175,70.29,74.38,67.26,80.69,Same As National Rate,3,71,4.23,3.55,2.53,4.99,Same As National Rate
197023,SOUTHEAST LOUISIANA HOME HEALTH  LLC,COVINGTON,70433,9858928008,PROPRIETARY,Yes,No,No,No,No,Yes,3/2/1970,4.5,99.9,99.9,73.3,88.4,93.3,94.5,83.3,94.1,14.3,0.2,95.2,555,844,65.76,71.55,68.35,74.76,Worse Than National Rate,21,555,3.78,3.67,2.77,4.86,Same As National Rate
197024,PROFESSIONAL HHS OF SOUTHWEST LOUISIANA,CROWLEY,70526,3377835040,PROPRIETARY,Yes,No,No,No,No,Yes,5/25/1970,3.5,100,100,63.7,77.8,81.2,85.5,80.1,78,19.2,0,99.5,77,133,57.89,62.95,54.22,70.97,Worse Than National Rate,1,53,1.89,3.42,2.29,5,Same As National Rate
197026,PROFESSIONAL HH SVC OF MINDEN,MINDEN,71055,3183771709,PROPRIETARY,Yes,No,No,No,No,Yes,7/27/1970,2.5,99.5,99.5,66.9,71.9,71.8,72.8,64.9,70.6,18.8,0.4,98.3,149,292,51.03,54.74,49.45,60.49,Worse Than National Rate,3,116,2.59,3.33,2.4,4.72,Same As National Rate
197037,CONCERNED CARE HOME HEALTH  INC,COVINGTON,70433,9858923947,PROPRIETARY,Yes,No,No,No,Yes,Yes,5/5/1972,2.5,99.6,97.4,83.3,73.4,81.7,79.8,70.8,72.5,18.7,0.3,99,147,187,78.61,88.48,81.61,94.24,Better Than National Rate,8,107,7.48,3.96,2.82,5.49,Same As National Rate
197038,EVANGELINE HOME HEALTH LLC,BASILE,70515,3374325986,PROPRIETARY,Yes,No,No,No,No,Yes,11/6/1972,3,99.6,99.3,74.4,82,70.9,78.5,72.9,66.8,14.7,0.7,96,1353,1761,76.83,79.94,77.97,82,Same As National Rate,7,560,1.25,2.8,2.05,3.81,Same As National Rate
197039,JEFF DAVIS MD HOMECARE,JENNINGS,70546,3378241188,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,6/25/1973,4.5,100,100,94.5,88.7,91.4,93.9,87.9,94.7,15.8,0,99.7,631,823,76.67,80.42,77.38,83.46,Same As National Rate,12,459,2.61,3.38,2.5,4.4,Same As National Rate
197044,KINDRED AT HOME,ALEXANDRIA,71303,3184876700,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/19/1974,4,98.7,99.7,90,84.2,88.2,90.5,89.4,78.9,16,0,94.8,604,1049,57.58,59.55,56.53,62.36,Worse Than National Rate,12,370,3.24,3.62,2.63,4.76,Same As National Rate
197052,LOUISIANA HOMECARE,MANSFIELD,71052,3188720821,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,7/12/1977,4.5,99.6,100,79.2,90.7,91.7,92.1,87.1,84.5,18.2,0.1,97.7,1228,1656,74.15,77.5,75.53,79.91,Same As National Rate,18,927,1.94,3.05,2.3,3.93,Same As National Rate
197056,HME HLTH DEPT WILLIS KNIGHTON,SHREVEPORT,71103,3182124180,VOLUNTARY NON-PROFIT - OTHER,Yes,Yes,Yes,Yes,Yes,Yes,6/15/1979,3,83.5,92.6,83.6,81.4,82.6,84.2,85.9,79.8,16.5,0.5,92.3,821,1021,80.41,84.55,82.22,87.15,Better Than National Rate,61,901,6.77,4.8,3.84,5.82,Worse Than National Rate
197057,LOURDES HOME HEALTH,LAFAYETTE,70508,3374062539,PROPRIETARY,No,No,Yes,Yes,Yes,Yes,6/6/1979,4,100,99.8,61.2,87.5,88.7,86.7,89.4,82,16.7,0,99.6,564,733,76.94,80.77,77.87,83.71,Same As National Rate,22,592,3.72,3.98,2.94,5.28,Same As National Rate
197058,LASALLE GEN HOSP HOME HEALTH AGENCY,JENA,71342,3189929250,GOVERNMENT - LOCAL,Yes,No,No,Yes,Yes,Yes,11/5/1979,2.5,94.4,97.2,68.6,80.5,79.2,75,65.5,79.1,16.1,0,95.8,86,159,54.09,55.96,48.78,63.21,Worse Than National Rate,0,74,0,3.23,2.21,4.52,Same As National Rate
197060,ACADIAN HOMECARE  LLC,LAFAYETTE,70503,3372358185,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,5/23/1979,4.5,99.8,99.9,64.9,86.1,89.9,89.2,87.5,86.5,15,0.2,95.8,1290,1762,73.21,76.77,74.72,78.99,Same As National Rate,22,1078,2.04,2.86,2.2,3.64,Same As National Rate
197062,ELARA CARING,OPELOUSAS,70570,3379425367,PROPRIETARY,Yes,No,Yes,No,No,No,8/8/1980,4,99.6,100,70.7,86.3,84.2,86.8,86.7,85.6,15.4,0,88.9,315,620,50.81,55.37,51.55,59.16,Worse Than National Rate,4,243,1.65,3.13,2.24,4.38,Same As National Rate
197063,LOUISIANA HOMECARE OF MISS-LOU,FERRIDAY,71334,3183362323,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,8/18/1980,5,100,100,74.9,98.4,92.3,93.9,95.4,100,17.1,0,100,358,568,63.03,68.6,64.76,72.95,Worse Than National Rate,6,234,2.56,3.3,2.39,4.56,Same As National Rate
197074,CHRISTUS HOMECARE SCHUMPERT,SHREVEPORT,71101,3183836745,PROPRIETARY,No,No,No,No,No,Yes,5/5/1982,4.5,99.1,99.4,73.3,89.7,89.3,93.4,88.6,91,19.3,0,97,277,396,69.95,76.72,72.03,81.63,Same As National Rate,13,335,3.88,3.63,2.68,4.88,Same As National Rate
197084,GLENWOOD HOME HEALTH SERVICES,WEST MONROE,71291,3183960452,PROPRIETARY,Yes,No,No,No,Yes,Yes,2/2/1983,4,98.1,100,85.6,92.2,89.5,91.8,88.1,84.7,21.1,0,100,227,351,64.67,72.4,67.28,77.65,Worse Than National Rate,3,156,1.92,3.21,2.31,4.49,Same As National Rate
197086,BEST HOME HEALTH,WEST MONROE,71291,3183235594,VOLUNTARY NON-PROFIT - PRIVATE,Yes,No,No,Yes,No,Yes,5/23/1983,1.5,96,99,79.5,61.5,58.2,57.4,41,75.4,20.5,0,93.1,162,296,54.73,58.78,53.44,64.35,Worse Than National Rate,7,81,8.64,3.91,2.88,5.26,Same As National Rate
197089,DELHI HOME CARE,DELHI,71232,3188785152,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,6/13/1983,4.5,99.5,100,85.3,95.9,91.9,94.1,87.9,88.8,18.5,0,100,378,510,74.12,79.15,75.15,83.26,Same As National Rate,7,224,3.13,3.46,2.52,4.93,Same As National Rate
197091,ST FRANCIS MEDICAL CENTER HOME HEALTH,MONROE,71201,3183274500,PROPRIETARY,Yes,No,Yes,Yes,Yes,Yes,7/29/1983,4.5,100,100,100,91.1,91.5,91.6,87.5,88.6,16.4,0,100,524,714,73.39,77.47,74.34,80.66,Same As National Rate,21,539,3.9,4.08,3.1,5.49,Same As National Rate
197095,SUPREME HOME HEALTH SERVICE INC,MONROE,71201,3183235489,PROPRIETARY,Yes,No,No,No,No,Yes,9/9/1983,,97.1,100,90,,,,,,22.4,,100,22,113,19.47,25.57,18.4,34.85,Worse Than National Rate,3,22,13.64,3.64,2.66,5,Same As National Rate
197097,OMNI HOME CARE,MANDEVILLE,70471,9856745175,PROPRIETARY,Yes,No,No,No,Yes,Yes,8/15/1983,5,100,100,81.2,95.3,99.6,96.3,97.7,96.6,12.9,0.3,99.3,743,960,77.4,80.93,78.59,83.83,Same As National Rate,16,599,2.67,3.39,2.45,4.53,Same As National Rate
197099,FELICIANA HOME HEALTH,ZACHARY,70791,2256833347,PROPRIETARY,Yes,No,No,Yes,No,Yes,8/11/1983,4,100,100,82,85.4,88.2,84.8,86.4,83.1,12.2,0.5,99.1,270,356,75.84,84.66,79.9,89.77,Better Than National Rate,4,228,1.75,3.18,2.28,4.32,Same As National Rate
197102,FELICIANA HOME HEALTH SOUTH,GONZALES,70737,2254503294,PROPRIETARY,Yes,No,No,Yes,Yes,Yes,11/18/1983,4.5,99.5,99.7,80.9,89.5,91.8,88.5,85.4,87.4,17.7,0,97.8,488,638,76.49,81.23,77.88,84.6,Same As National Rate,11,406,2.71,3.33,2.48,4.54,Same As National Rate
197104,SMH-OCHSNER HOME HEALTH OF SLIDELL,SLIDELL,70461,9856494990,PROPRIETARY,No,No,Yes,Yes,Yes,Yes,12/7/1983,3.5,99.6,99.6,89.4,82.2,82.4,86.6,81.8,82.9,15.9,0,99,376,500,75.2,82.33,78.57,86.35,Same As National Rate,12,303,3.96,3.58,2.65,4.78,Same As National Rate
197113,HOME CARE TLC,WINNSBORO,71295,3184354180,PROPRIETARY,Yes,No,No,No,No,Yes,2/20/1984,3.5,97.6,100,63.6,83,100,88.7,80.3,83.9,17.8,0,96.8,156,299,52.17,55.16,50.05,60.67,Worse Than National Rate,2,90,2.22,3.41,2.36,4.74,Same As National Rate
197114,BUNKIE HOMECARE,BUNKIE,71322,3183463312,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,2/20/1984,5,100,100,68.1,93.4,94.2,92.7,87.8,96.1,12.8,1.1,100,163,269,60.59,63.52,58.21,69.16,Worse Than National Rate,3,131,2.29,3.45,2.39,4.82,Same As National Rate
197115,STAT HOME HEALTH NORTH  LLC,MONROE,71201,3184101344,PROPRIETARY,No,No,Yes,No,Yes,Yes,12/7/1983,2.5,100,99.5,83.3,78,72,78.9,75.2,72.2,18.7,0.4,99,566,827,68.44,74.38,71.2,77.96,Worse Than National Rate,14,295,4.75,3.74,2.78,5.26,Same As National Rate
197119,OCHSNER HOME HEALTH OF RACELAND,RACELAND,70394,9856644066,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,3/14/1984,4.5,99.8,100,61.1,89.4,86.9,89,89.7,87.4,13.9,0,98,273,341,80.06,85.79,81.32,89.76,Better Than National Rate,9,297,3.03,3.41,2.51,4.57,Same As National Rate
197120,ELARA CARING,NATCHITOCHES,71457,3182383933,PROPRIETARY,Yes,No,No,No,Yes,Yes,1/2/1984,4,100,98.6,74.6,87.6,86.4,90.6,87.2,84.3,14.6,0,96.9,245,448,54.69,60.34,55.93,65.04,Worse Than National Rate,4,151,2.65,3.4,2.39,4.6,Same As National Rate
197122,STAT HOME HEALTH TRITON,HAMMOND,70403,9859567041,PROPRIETARY,No,No,Yes,No,Yes,Yes,3/5/1984,3,95.9,98.1,59,78.8,78,82.2,76.8,75.1,16.2,0,96.3,182,256,71.09,81.01,74.7,86.73,Same As National Rate,4,55,7.27,3.66,2.59,4.98,Same As National Rate
197123,APEX HOME HEALTH  LLC,HAMMOND,70403,9856620552,PROPRIETARY,Yes,No,No,No,Yes,Yes,4/18/1984,4,99.9,99.8,73.3,84.6,83.6,89.3,76.6,83.7,15.7,0,99.6,1088,1663,65.42,69.18,66.8,71.94,Worse Than National Rate,25,724,3.45,3.56,2.67,4.5,Same As National Rate
197124,KINDRED AT HOME,PLAQUEMINE,70764,2256878188,PROPRIETARY,Yes,No,No,No,Yes,Yes,1/26/1984,4,99.2,99.2,87.4,86.7,84,87.7,88.9,80.1,14.2,1.3,99.2,411,650,63.23,67.45,63.63,71.14,Worse Than National Rate,5,251,1.99,3.21,2.32,4.34,Same As National Rate
197135,WEST CARROLL MEM. HOSPITAL HOME,OAK GROVE,71263,3184289604,PROPRIETARY,Yes,No,Yes,No,No,Yes,6/21/1984,1.5,95.6,100,67.5,64.6,55.9,59.9,48.1,56.1,19.6,2.6,94.5,108,209,51.67,57.93,50.74,64.96,Worse Than National Rate,7,91,7.69,3.93,2.7,5.33,Same As National Rate
197136,ST LANDRY HOMECARE,OPELOUSAS,70570,3379488988,PROPRIETARY,No,Yes,Yes,Yes,No,Yes,6/19/1984,4,98.6,99.6,58.2,88,89.2,89,88.8,87.5,17.5,0,73.7,1020,1337,76.29,81.93,79.77,84.53,Better Than National Rate,20,777,2.57,3.15,2.42,4.26,Same As National Rate
197142,TRUCARE HOME HEALTH  LLC,MONROE,71201,3186548627,PROPRIETARY,Yes,No,No,Yes,No,Yes,9/5/1984,3,99.7,98.5,67.5,73.8,79,84.7,73.4,77.6,19.2,0,99.4,357,579,61.66,69.32,65.36,73.71,Worse Than National Rate,12,181,6.63,4.07,3.01,5.48,Same As National Rate
197143,TRADITIONS HEALTH,PONCHATOULA,70454,9856356900,PROPRIETARY,No,No,No,No,Yes,Yes,6/12/1984,4,99.3,99.4,68.4,81.3,80.7,86.8,84.6,83.7,14.5,0.7,97.3,423,590,71.69,75.58,71.75,79.19,Same As National Rate,14,432,3.24,3.58,2.64,4.74,Same As National Rate
197149,LANE HOME HEALTH AN AFFILIATE OF LANE REG MEDICAL,ZACHARY,70791,2256584150,VOLUNTARY NON-PROFIT - OTHER,Yes,No,No,No,Yes,Yes,11/1/1984,3,100,99.4,71.2,79.1,79.8,76.7,73.7,70.5,15.5,0.7,99.8,285,349,81.66,87.02,82.82,91.12,Better Than National Rate,8,245,3.27,3.48,2.47,4.91,Same As National Rate
197154,POINTE COUPEE HOMEBOUND HEALTH,NEW ROADS,70760,2256385717,GOVERNMENT - LOCAL,Yes,No,No,No,Yes,Yes,8/17/1984,3,98.1,99.3,70,82.1,84.1,80.3,81.7,60.8,12.2,0,78.6,314,344,91.28,96.09,92.47,99.14,Better Than National Rate,8,255,3.14,3.5,2.48,4.63,Same As National Rate
197156,OCHSNER HOME HEALTH OF COVINGTON,COVINGTON,70433,9858927627,PROPRIETARY,Yes,No,No,No,No,Yes,12/12/1984,4,99.8,100,85.7,82.9,84.3,90.4,90.6,84.2,15.9,0,99.3,480,559,85.87,90.76,87.64,93.68,Better Than National Rate,8,389,2.06,3.03,2.23,4.07,Same As National Rate
197159,LOUISIANA HOMECARE OF ALEXANDRIA,ALEXANDRIA,71303,3184277756,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/27/1984,4.5,100,100,92.9,88.2,93.1,90.8,90,83.5,18.1,0.4,97.7,275,372,73.92,79.36,74.89,83.85,Same As National Rate,2,211,0.95,3.01,2.2,4.25,Same As National Rate
197161,ELARA CARING,MANSFIELD,71052,3188715101,PROPRIETARY,Yes,No,No,No,Yes,Yes,10/17/1984,4.5,99.8,99.8,81.7,88.9,89.5,90.3,88.1,86.4,15.6,0,98,671,1137,59.01,62.18,59.44,65.31,Worse Than National Rate,8,433,1.85,3.25,2.37,4.34,Same As National Rate
197163,BATON ROUGE GENERAL HOME HEALTH,BATON ROUGE,70809,2253766157,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/17/1984,4.5,100,100,96.1,90,87.2,89.9,87.7,87.7,13.2,0,98.5,305,425,71.76,80.79,76.22,85.28,Same As National Rate,6,323,1.86,2.92,2.16,3.9,Same As National Rate
197167,AMEDISYS HOME HEALTH,HOUMA,70360,9858721955,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,1/24/1985,4.5,100,98.9,55.4,95.9,92.1,90.3,91.2,84.2,17.4,0.9,92.4,349,457,76.37,82.97,78.7,86.95,Same As National Rate,4,268,1.49,3.03,2.19,4.05,Same As National Rate
197168,ST. TAMMANY HOSPITAL HOME HEALTH,COVINGTON,70433,9858984414,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,10/24/1984,3.5,99.5,98.9,61.2,81.4,84.3,84.1,83.8,74.5,15.7,0.5,93.7,489,617,79.25,84,80.85,87.2,Better Than National Rate,21,561,3.74,3.6,2.72,4.75,Same As National Rate
197170,UNITED HOME HEALTH CARE OF SHREVEPORT,SHREVEPORT,71115,3187987777,PROPRIETARY,No,No,No,No,No,No,1/24/1984,,87.1,100,19.2,,,,,,,,90.3,25,54,46.3,54.48,42.47,66.61,Worse Than National Rate,1,22,4.55,3.52,2.52,4.9,Same As National Rate
197178,WEST CALCASIEU CAMERON HOSPITAL HHA,SULPHUR,70663,3375274362,GOVERNMENT - LOCAL,Yes,No,No,No,No,Yes,3/28/1985,3.5,99.4,100,88.4,83.6,82.2,85,80.3,82.6,16.4,0,99.1,405,487,83.16,89.62,85.72,92.96,Better Than National Rate,10,298,3.36,3.36,2.42,4.71,Same As National Rate
197179,PULSE HOME HEALTH CARE,COVINGTON,70433,9858457088,PROPRIETARY,Yes,No,No,No,No,Yes,2/26/1985,4,99.8,99.8,81.3,82.6,85.3,87.4,81,84.6,14.9,0,99.5,487,707,68.88,73.99,70.85,77.76,Worse Than National Rate,12,286,4.2,3.68,2.66,4.94,Same As National Rate
